"100K","1","69.6"
"100K","2","79.2"
"100K","5","84.5"
"500K","1","73.6"
"500K","2","76.8"
"500K","5","85.5"
"1M","1","76.3"
"1M","2","80.5"
"1M","5","85.5"
"100K","1","73.5"
"100K","2","77.5"
"100K","5","84.7"
"500K","1","75.2"
"500K","2","81.9"
"500K","5","85.2"
"1M","1","76.5"
"1M","2","79.9"
"1M","5","86.4"
"100K","1","75.1"
"100K","2","79.3"
"100K","5","83.6"
"500K","1","72.7"
"500K","2","79.6"
"500K","5","85.5"
"1M","1","72.1"
"1M","2","78.9"
"1M","5","85.6"
"100K","1","73.4"
"100K","2","79.4"
"100K","5","83.8"
"500K","1","71.3"
"500K","2","79.6"
"500K","5","85.7"
"1M","1","74.2"
"1M","2","77.5"
"1M","5","86.4"
