"100K","1","75.7"
"100K","2","86.0"
"100K","5","88.3"
"500K","1","76.2"
"500K","2","83.3"
"500K","5","90.0"
"1M","1","79.4"
"1M","2","86.3"
"1M","5","90.5"
"100K","1","72.6"
"100K","2","84.0"
"100K","5","87.0"
"500K","1","76.6"
"500K","2","84.2"
"500K","5","89.2"
"1M","1","78.0"
"1M","2","85.7"
"1M","5","90.7"
"100K","1","74.5"
"100K","2","84.6"
"100K","5","89.0"
"500K","1","81.8"
"500K","2","83.6"
"500K","5","90.0"
"1M","1","86.6"
"1M","2","86.6"
"1M","5","91.2"
"100K","1","73.0"
"100K","2","85.1"
"100K","5","87.6"
"500K","1","83.3"
"500K","2","87.1"
"500K","5","90.3"
"1M","1","79.6"
"1M","2","87.1"
"1M","5","92.3"
