"100K","1","76.2"
"100K","2","85.6"
"100K","5","88.5"
"500K","1","82.0"
"500K","2","87.2"
"500K","5","89.1"
"1M","1","79.7"
"1M","2","87.9"
"1M","5","89.9"
"100K","1","79.6"
"100K","2","85.9"
"100K","5","89.9"
"500K","1","79.8"
"500K","2","86.0"
"500K","5","89.1"
"1M","1","81.7"
"1M","2","87.4"
"1M","5","89.3"
"100K","1","77.9"
"100K","2","85.5"
"100K","5","89.4"
"500K","1","79.8"
"500K","2","87.3"
"500K","5","89.8"
"1M","1","81.9"
"1M","2","86.5"
"1M","5","89.0"
"100K","1","74.4"
"100K","2","85.9"
"100K","5","89.5"
"500K","1","80.0"
"500K","2","86.5"
"500K","5","89.4"
"1M","1","76.6"
"1M","2","85.1"
"1M","5","88.6"
