"100K","1","126"
"100K","2","130"
"100K","5","122"
"500K","1","130"
"500K","2","128"
"500K","5","126"
"1M","1","130"
"1M","2","128"
"1M","5","127"
"100K","1","124"
"100K","2","131"
"100K","5","124"
"500K","1","130"
"500K","2","128"
"500K","5","122"
"1M","1","129"
"1M","2","130"
"1M","5","125"
"100K","1","124"
"100K","2","131"
"100K","5","125"
"500K","1","132"
"500K","2","128"
"500K","5","122"
"1M","1","131"
"1M","2","129"
"1M","5","123"
"100K","1","125"
"100K","2","131"
"100K","5","116"
"500K","1","130"
"500K","2","129"
"500K","5","124"
"1M","1","131"
"1M","2","129"
"1M","5","128"
