"100K","1","32.7"
"100K","2","42.7"
"100K","5","60.0"
"500K","1","31.4"
"500K","2","40.5"
"500K","5","63.7"
"1M","1","34.0"
"1M","2","62.0"
"1M","5","62.0"
"100K","1","40.4"
"100K","2","50.5"
"100K","5","63.1"
"500K","1","34.6"
"500K","2","60.8"
"500K","5","64.1"
"1M","1","30.5"
"1M","2","52.7"
"1M","5","63.9"
"100K","1","41.1"
"100K","2","44.9"
"100K","5","61.7"
"500K","1","30.9"
"500K","2","52.6"
"500K","5","64.5"
"1M","1","34.0"
"1M","2","55.0"
"1M","5","64.5"
"100K","1","35.2"
"100K","2","52.6"
"100K","5","63.2"
"500K","1","31.3"
"500K","2","53.9"
"500K","5","64.9"
"1M","1","33.0"
"1M","2","62.9"
"1M","5","64.7"
