"100K","1","55.5"
"100K","2","76.6"
"100K","5","82.4"
"500K","1","60.7"
"500K","2","77.4"
"500K","5","82.9"
"1M","1","54.9"
"1M","2","75.3"
"1M","5","82.7"
"100K","1","67.2"
"100K","2","72.4"
"100K","5","81.0"
"500K","1","66.9"
"500K","2","77.4"
"500K","5","83.1"
"1M","1","48.0"
"1M","2","81.7"
"1M","5","82.5"
"100K","1","54.4"
"100K","2","77.7"
"100K","5","82.3"
"500K","1","69.2"
"500K","2","77.0"
"500K","5","83.1"
"1M","1","70.2"
"1M","2","77.3"
"1M","5","82.3"
"100K","1","59.8"
"100K","2","75.9"
"100K","5","81.9"
"500K","1","60.7"
"500K","2","76.9"
"500K","5","81.1"
"1M","1","74.3"
"1M","2","78.5"
"1M","5","83.8"
