"100K","1","95.2"
"100K","2","93.9"
"100K","5","94.1"
"500K","1","95.1"
"500K","2","94.2"
"500K","5","94.2"
"1M","1","94.5"
"1M","2","94.3"
"1M","5","94.4"
"100K","1","95.0"
"100K","2","93.0"
"100K","5","93.9"
"500K","1","94.9"
"500K","2","94.8"
"500K","5","93.6"
"1M","1","95.1"
"1M","2","94.9"
"1M","5","94.2"
"100K","1","95.6"
"100K","2","93.4"
"100K","5","93.5"
"500K","1","94.7"
"500K","2","94.6"
"500K","5","94.6"
"1M","1","94.9"
"1M","2","94.7"
"1M","5","94.0"
"100K","1","95.8"
"100K","2","93.3"
"100K","5","93.8"
"500K","1","94.5"
"500K","2","94.6"
"500K","5","95.1"
"1M","1","95.2"
"1M","2","94.3"
"1M","5","92.9"
