"100K","1","75.1"
"100K","2","83.5"
"100K","5","87.7"
"500K","1","78.7"
"500K","2","86.7"
"500K","5","90.2"
"1M","1","82.5"
"1M","2","84.5"
"1M","5","89.5"
"100K","1","76.2"
"100K","2","84.0"
"100K","5","86.9"
"500K","1","79.0"
"500K","2","85.5"
"500K","5","89.2"
"1M","1","82.3"
"1M","2","86.0"
"1M","5","90.0"
"100K","1","76.6"
"100K","2","84.2"
"100K","5","87.7"
"500K","1","78.7"
"500K","2","84.2"
"500K","5","90.2"
"1M","1","78.9"
"1M","2","84.2"
"1M","5","90.1"
"100K","1","78.0"
"100K","2","84.1"
"100K","5","86.9"
"500K","1","81.0"
"500K","2","85.7"
"500K","5","88.2"
"1M","1","75.7"
"1M","2","81.9"
"1M","5","87.4"
