"100K","1","61.2"
"100K","2","60.4"
"100K","5","60.6"
"500K","1","61.2"
"500K","2","61.3"
"500K","5","62.1"
"1M","1","61.0"
"1M","2","61.5"
"1M","5","62.4"
"100K","1","60.6"
"100K","2","61.7"
"100K","5","62.3"
"500K","1","61.4"
"500K","2","63.9"
"500K","5","62.6"
"1M","1","62.8"
"1M","2","61.6"
"1M","5","62.5"
"100K","1","62.3"
"100K","2","63.5"
"100K","5","62.6"
"500K","1","60.1"
"500K","2","63.1"
"500K","5","63.0"
"1M","1","63.5"
"1M","2","63.5"
"1M","5","63.6"
"100K","1","62.5"
"100K","2","63.2"
"100K","5","63.0"
"500K","1","63.2"
"500K","2","64.0"
"500K","5","63.5"
"1M","1","62.5"
"1M","2","63.0"
"1M","5","62.3"
